"PointID","x","y","z"
12974, 1.561001139882210e+01, 4.069847449300183e+00, 1.980310359457871e+00
12975, 1.557281919056962e+01, 4.082033375216891e+00, 2.010997534693344e+00
12976, 1.554705863797408e+01, 4.094380282085757e+00, 2.043671315524235e+00
12977, 1.553422913953544e+01, 4.106264678483952e+00, 2.076821899215281e+00
12978, 1.553111304977048e+01, 4.116639280065661e+00, 2.107194285444621e+00
12979, 2.127866233199641e+01, 3.790663656982932e+00, 1.690237003487221e+00
12980, 2.128216363879538e+01, 3.767457145203267e+00, 1.640539008827949e+00
12981, 2.132742739645789e+01, 3.770127125535013e+00, 1.649134653636126e+00
12982, 2.132538496763409e+01, 3.790563399016855e+00, 1.693002565208753e+00
12983, 2.143938273155155e+01, 3.760489418001302e+00, 1.635723004713108e+00
12984, 2.144789024718314e+01, 3.746178407943483e+00, 1.606027281838997e+00
12985, 2.147343250582687e+01, 3.749714337454924e+00, 1.615087625427212e+00
12986, 2.146645711143637e+01, 3.762666843095625e+00, 1.642060819607809e+00
12987, 2.276032928394617e+01, 3.432257400726451e+00, 1.077603965852918e+00
12988, 2.266738004895487e+01, 3.471043274174141e+00, 1.142943138686511e+00
12989, 2.256909061980831e+01, 3.437907831524010e+00, 1.076549340533453e+00
12990, 2.265347211594659e+01, 3.381309074676242e+00, 9.796204339841362e-01
12991, 2.059346651682755e+01, 2.891011814477262e+00, 2.181411454950233e-02
12992, 2.071405719066102e+01, 2.793754097396605e+00, -1.229787102545785e-01
12993, 2.087689703987536e+01, 2.848822918832886e+00, -2.654610914957854e-02
12994, 2.075362278302333e+01, 2.943111116243382e+00, 1.151434853093535e-01
12995, 2.290697949476471e+01, 3.683299346363519e+00, 1.563154598018120e+00
12996, 2.275259914381108e+01, 3.732051100252452e+00, 1.654223436369200e+00
12997, 2.265810267919508e+01, 3.685579355187208e+00, 1.553972502905032e+00
12998, 2.280251920781139e+01, 3.624586858392949e+00, 1.441080751232040e+00
12999, 2.312031256033005e+01, 3.259178704161202e+00, 7.928710332191644e-01
13000, 2.296882586103522e+01, 3.320299089259705e+00, 8.903026074632310e-01
13001, 2.286088726502010e+01, 3.258357362272703e+00, 7.763420071942509e-01
13002, 2.300965780180592e+01, 3.189496449589769e+00, 6.674547153926915e-01
13003, 2.236438018754320e+01, 3.168584773644227e+00, 5.925257964941855e-01
13004, 2.243953577783489e+01, 3.093364748894025e+00, 4.712987266624379e-01
13005, 2.258510050767332e+01, 3.138927474234967e+00, 5.564882310321826e-01
